JournalTitle,MedAbbr,ISSN,eISSN,JIF_2024,JIF_Quartile,CAS_Quartile
The Psychiatric times,Psychiatr Times,0893-2905,,,,
Journal of health & mass communication,J Health Mass Commun,1940-9354,1940-9362,,,
Journal of studies on alcohol and drugs. Supplement,J Stud Alcohol Drugs Suppl,1946-584X,1946-5858,,,
Oxidative medicine and cellular longevity,Oxid Med Cell Longev,1942-0900,1942-0994,,,
Dermato-endocrinology,Dermatoendocrinol,1938-1972,1938-1980,,,
International journal of evolutionary biology,Int J Evol Biol,2090-8032,2090-052X,,,
Journal of registry management,J Registry Manag,1945-6123,1945-6131,,,
Journal of patient safety,J Patient Saf,1549-8417,1549-8425,,,
Journal of nutrigenetics and nutrigenomics,J Nutrigenet Nutrigenomics,1661-6499,1661-6758,,,
Endocrinologia y nutricion : organo de la Sociedad Espanola de Endocrinologia y Nutricion,Endocrinol Nutr,1575-0922,1579-2021,,,
Klinische Neuroradiologie,Klin Neuroradiol,0939-7116,1615-6706,,,
African journal of paediatric surgery : AJPS,Afr J Paediatr Surg,0189-6725,0974-5998,,,
DukeMedicine healthnews,Duke Med Health News,2153-8387,,,,
Advanced materials research,Adv Mat Res,1022-6680,1662-8985,,,
Journal of modern optics,J Mod Opt,0950-0340,1362-3044,,,
Croatica chemica acta. Arhiv za kemiju,Croat Chem Acta,0011-1643,,,,
HIV sequence compendium,HIV Seq Compend,2151-7983,,,,
The Australian & New Zealand journal of criminology,Aust N Z J Criminol,0004-8658,,,,
Turk Silahli Kuvvetleri koruyucu hekimlik bulteni,Turk Silahli Kuvvetleri Koruyucu Hekim Bul,1303-734X,,,,
Communications in statistics: theory and methods,Commun Stat Theory Methods,0361-0926,1532-415X,,,
Criminal justice review,Crim Justice Rev,0734-0168,1556-3839,,,
Poiesis & praxis : international journal of ethics of science and technology assessment,Poiesis Prax,1615-6609,1615-6617,,,
Journal of special operations medicine : a peer reviewed journal for SOF medical professionals,J Spec Oper Med,1553-9768,,,,
Revista interamericana de psicologia = Interamerican journal of psychology,Interam J Psychol,0034-9690,,,,
Gestalt theory,Gestalt Theory,0170-057X,,,,
"Connections (Toronto, Ont.)",Connect (Tor),0226-1766,,,,
International journal of computational geometry & applications,Int J Comput Geom Appl,0218-1959,1793-6357,,,
Bioscience and microflora,Biosci Microflora,1342-1441,1349-8355,,,
"Journal of polymer science. Part A, Polymer chemistry",J Polym Sci A Polym Chem,0887-624X,1099-0518,,,
Contemporary hypnosis : the journal of the British Society of Experimental and Clinical Hypnosis,Contemp Hypn,0960-5290,1557-0711,,,
"BIOforum : biologische Chemie, Mikrobiologie, Genetik, Immunologie, Virologie, Biotechnologie",Bioforum,0940-0079,,,,
Florida journal of environmental health,Fla J Environ Health,0897-4624,,,,
Indian journal of community medicine : official publication of Indian Association of Preventive & Social Medicine,Indian J Community Med,0970-0218,1998-3581,,,
Journal of housing for the elderly,J Hous Elderly,0276-3893,1540-353X,,,
International journal of fitness,Int J Fit,0973-2152,,,,
LES nouvelles. Licensing Executives Society (U.S.A.),LES Nouv,0270-174X,,,,
"Chance (New York, N.Y.)",Chance (N Y),0933-2480,,,,
Criminal justice policy review,Crim Justice Policy Rev,0887-4034,1552-3586,,,
Brown University digest of addiction theory and application : DATA,Brown Univ Dig Addict Theory Appl,1040-6328,1556-7559,,,
Journal of applied biobehavioral research,J Appl Biobehav Res,1071-2089,1751-9861,,,
Journal of prenatal & perinatal psychology & health,J Prenat Perinat Psychol Health,1097-8003,,,,
Journal of porphyrins and phthalocyanines,J Porphyr Phthalocyanines,1088-4246,1099-1409,,,4.0
"EM (Pittsburgh, Pa.)",EM (Pittsburgh Pa),1088-9981,,,,
Communications in numerical methods in engineering,Commun Numer Methods Eng,1069-8299,1099-0887,,,
Marquette intellectual property law review,Marquette Intellect Prop Law Rev,1092-5899,,,,
Polymer-plastics technology and engineering,Polym Plast Technol Eng,0360-2559,1525-6111,,,
Case reports in medicine,Case Rep Med,1687-9627,1687-9635,,,
Dermato-venerologie,Dermatovenerologia,0011-9024,,,,
Revista colombiana de psiquiatria,Rev Colomb Psiquiatr,0034-7450,,,,
Good clinical practice journal : GCP,Good Clin Pract J,1350-0961,,,,
Metal ions in biology and medicine : proceedings of the ... International Symposium on Metal Ions in Biology and Medicine held ... = Les ions metalliques en biologie et en medecine : ... Symposium international sur les ions metalliques ...,Met Ions Biol Med,1257-2535,,,,
"Asia Pacific journal of speech, language, and hearing",Asia Pac J Speech Lang Hear,1361-3286,2058-0967,,,
Dialogues in cardiovascular medicine : DCM,Dialog Cardiovasc Med,1272-9949,,,,
The research file,Res file,1188-6641,,,,
Journal of commercial biotechnology,J Commer Biotechnol,1462-8732,1478-565X,,,
"Current medicinal chemistry. Immunology, endocrine & metabolic agents",Curr Med Chem Immunol Endocr Metab Agents,1568-0134,1875-6107,,,
Current topics in nutraceutical research,Curr Top Nutraceutical Res,1540-7535,,,,
Current prostate reports,Curr Prostate Rep,1544-1865,1544-225X,,,
Journal of biomedical nanotechnology,J Biomed Nanotechnol,1550-7033,1550-7041,,,
Current hypertension reviews,Curr Hypertens Rev,1573-4021,1875-6506,,,
Current bioactive compounds,Curr Bioact Compd,1573-4072,1875-6646,,,
"Clinical cases in mineral and bone metabolism : the official journal of the Italian Society of Osteoporosis, Mineral Metabolism, and Skeletal Diseases",Clin Cases Miner Bone Metab,1724-8914,1971-3266,,,
Gastroenterology & hepatology,Gastroenterol Hepatol (N Y),1554-7914,,,,
The journal for nurse practitioners : JNP,J Nurse Pract,1555-4155,1878-058X,,,
Current signal transduction therapy,Curr Signal Transduct Ther,1574-3624,2212-389X,,,
International journal of probiotics & prebiotics,Int J Probiotics Prebiotics,1555-1431,,,,
Journal of public child welfare,J Public Child Welf,1554-8732,1554-8740,,,
Current drug therapy,Curr Drug ther,1574-8855,2212-3903,,,
International journal of hybrid intelligent systems,Int J Hybrid Intell Syst,1448-5869,1875-8819,,,
International journal of risk assessment and management,Int J Risk Assess Manag,1466-8297,1741-5241,,,
International journal of vehicle safety,Int J Veh Saf,1479-3105,1479-3113,,,
Children & schools,Child Sch,1532-8759,1545-682X,,,
International journal of advanced manufacturing systems,Int J Adv Manuf Syst,1536-2647,,,,
Ciencias de la conducta : revista del Centro Caribeno de Estudios Post-Graduados,Cienc Conducta,1539-994X,2380-3002,,,
Law enforcement executive forum,Law Enforc Exec Forum,1552-9908,,,,
Metal ions in life sciences,Met Ions Life Sci,1559-0836,2041-9821,,,
Audiological medicine,Audiol Med,1651-386X,1651-3835,,,
International psychiatry : bulletin of the Board of International Affairs of the Royal College of Psychiatrists,Int Psychiatry,1749-3676,1749-3684,,,
Future rheumatology,Fut Rheumatol,1746-0816,1746-0824,,,
Expert review of obstetrics & gynecology,Expert Rev Obstet Gynecol,1747-4108,1747-4116,,,
Future HIV therapy,Futur HIV Ther,1746-9600,1746-9619,,,
Ethics in science and environmental politics,Ethics Sci Environ Polit,1863-5415,1611-8014,,,
Journal of data science : JDS,J Data Sci,1680-743X,1683-8602,,,
Computer-aided design and applications,Comput Aided Des Appl,1686-4360,,,,
International journal of numerical analysis and modeling,Int J Numer Anal Model,1705-5105,,,,
International journal of public policy,Int J Public Pol,1740-0600,1740-0619,,,
International journal of functional informatics and personalised medicine,Int J Funct Inform Personal Med,1756-2104,1756-2112,,,
International journal of immunological studies,Int J Immunol Stud,1754-1441,1754-145X,,,
International journal of computational biology and drug design,Int J Comput Biol Drug Des,1756-0756,1756-0764,,,
International journal of biometrics,Int J Biom,1755-8301,1755-831X,,,4.0
Current protocols in pharmacology,Curr Protoc Pharmacol,1934-8282,1934-8290,,,
Current protocols in toxicology,Curr Protoc Toxicol,1934-9254,1934-9262,,,
"Immunology, endocrine & metabolic agents in medicinal chemistry",Immunol Endocr Metab Agents Med Chem,1871-5222,1875-6115,,,
Journal of medical devices,J Med Device,1932-6181,1932-619X,,,
Chemosensory perception,Chemosens Percept,1936-5802,1936-5810,,,
Current aging science,Curr Aging Sci,1874-6098,1874-6128,,,
Clinical lipidology,Clin Lipidol,1758-4299,1758-4302,,,
International journal of clinical rheumatology,Int J Clin Rheumtol,1758-4272,1758-4280,,,
Journal of vascular and interventional neurology,J Vasc Interv Neurol,1941-5893,1944-141X,,,
Bubble science engineering and technology,Bubble Sci Eng Technol,1758-8960,,,,
Learning & perception,Learn Percept,1789-3186,2060-9175,,,
Journal of ethnographic and qualitative research,J Ethnogr Qual Res,1935-3308,,,,
"Psychoanalytic psychology : the official journal of the Division of Psychoanalysis, American Psychological Association, Division 39",Psychoanal Psychol,0736-9735,1939-1331,,,
International journal of child and adolescent health,Int J Child Adolesc health,1939-5930,,,,
"Sensors and actuators (Warrendale, Pa.)",Sens Actuators (Warrendale Pa),1054-6693,,,,
Perspectives on speech science and orofacial disorders,Perspect Speech Sci Orofac Disord,1940-7572,1940-7580,,,
Perspectives on neurophysiology and neurogenic speech and language disorders,Perspect Neurophysiol Neurogenic Speech Lang Disord,1940-7769,1940-7777,,,
Perspectives on language learning and education,Perspect Lang Learn Educ,1940-7742,1940-7750,,,
Hayati : journal of biosciences,Hayati,1978-3019,2086-4094,,,
The Hearing journal,Hear J,0745-7472,,,,
The journal of the Robert H. Lurie Cancer Center of Northwestern University,J Robert H Lurie Cancer Cent Northwest Univ,2152-1492,,,,
Suomen ortopedia ja traumatologia = Ortopedi och traumatologi i Finland = Finnish journal of orthopaedics and traumatology,Suom Ortoped Traumatol,0780-671X,,,,
Journal of theory construction & testing,J Theory Constr Test,1086-4431,,,,
Teaching statistics,Teach Stat,0141-982X,1467-9639,,,
Synchrotron radiation news,Synchrotron Radiat News,0894-0886,1931-7344,,,
The Journal of men's studies,J Mens Stud,1060-8265,1933-0251,,,
Seminars in medical practice,Semin Med Pract,1520-8028,,,,
"Inmunologia (Barcelona, Spain : 1987)",Inmunologia,0213-9626,2173-9145,,,
Journal of neurotherapy,J Neurother,1087-4208,1530-017X,,,
Journal of family social work,J Fam Soc Work,1052-2158,1540-4072,,,
Mental health in family medicine,Ment Health Fam Med,1756-834X,1756-8358,,,
The journal of the Korean Physical Society,J Korean Phys Soc,0374-4884,,,,
Journal of theoretical politics,J Theor Polit,0951-6298,1460-3667,,,
Current medical literature. Dermatology,Curr Med Lit Dermatol,1361-4215,1759-8087,,,
Point of care,Point Care,1533-029X,1533-0303,,,
Current medicinal chemistry. Anti-inflammatory & anti-allergy agents,Curr Med Chem Anti Inflamm Anti Allergy Agents,1568-0142,1875-6131,,,
Obesity management,Obes Manag,1545-1712,1557-8569,,,
"Nanobiotechnology : the journal at the intersection of nanotechnology, molecular biology, and biomedical sciences",Nanobiotechnology,1551-1286,1551-1294,,,
Pediatric health,Ped Health,1745-5111,1745-512X,,,
Netherlands journal of psychology,Neth J Psychol,1872-552X,1876-8768,,,
Family court review,Fam Court Rev,1531-2445,1744-1617,,,
Fathering,Fathering,1537-6680,1933-026X,,,
NAPA bulletin,NAPA Bull,1556-4789,,,,
Psichologija,Psichologija (Vilniaus Univ),1392-0359,,,,
"Asian medicine (Leiden, Netherlands)",Asian Med (Leiden),1573-420X,1573-4218,,,
Current cardiovascular imaging reports,Curr Cardiovasc Imaging Rep,1941-9066,1941-9074,,,
Biennial review of counseling psychology,Bienn Rev Couns Psychol,1941-4250,,,,
Circulation. Cardiovascular quality and outcomes,Circ Cardiovasc Qual Outcomes,1941-7713,1941-7705,,,
Journal of singing : the official journal of the National Association of Teachers of Singing,J Sing,1086-7732,,,,
Collaborative anthropologies,Collab Anthropol,1943-2550,,,,
Revista Puertorriquena de psicologia,Rev Puertorriquena Psicol,1946-2026,2331-6950,,,
International journal of computational science,Int J Comput Sci,1992-6669,1992-6677,,,
Terrestrial arthropod reviews,Terr Arthropod Rev,1874-9828,,,,
SIGKDD explorations : newsletter of the Special Interest Group (SIG) on Knowledge Discovery & Data Mining,SIGKDD Explor,1931-0145,1931-0153,,,
Advances in experimental social psychology,Adv Exp Soc Psychol,0065-2601,1557-8410,,,
"Journal of polymer science. Part B, Polymer physics",J Polym Sci B Polym Phys,0887-6266,1099-0488,,,
Annals of behavioral science and medical education : journal of the Association for the Behavioral Sciences and Medical Education,Ann Behav Sci Med Educ,1075-1211,,,,
Journal of musculoskeletal research,J Musculoskelet Res,0218-9577,1793-6497,,,
Alzheimer's care quarterly,Alzheimers Care Q,1525-3279,,,,
Applied biosafety : journal of the American Biological Safety Association,Appl Biosaf,1535-6760,2470-1246,,,
Addictive disorders & their treatment,Addict Disord Their Treat,1531-5754,1535-1122,,,
American journal of pharmacology and toxicology,Am J Pharmacol Toxicol,1557-4962,1557-4970,,,
Aging health,Aging health,1745-509X,1745-5103,,,
Clinical schizophrenia & related psychoses,Clin Schizophr Relat Psychoses,1935-1232,1941-2010,,,
Journal of nanoneuroscience,J Nanoneurosci,1939-0637,1939-0653,,,
Arizona Geriatrics Society journal,Ariz Geriatr Soc J,1930-2967,,,,
"Challenge (Atlanta, Ga.)",Challenge (Atlanta Ga),1077-193X,,,,
Apuntes de psicologia,Apunt Psicol,0213-3334,1989-6441,,,
Applied organometallic chemistry,Appl Organomet Chem,0268-2605,,,,2.0
Advances in bioinformatics,Adv Bioinformatics,1687-8027,1687-8035,,,
Journal of higher education outreach and engagement,J High Educ Outreach Engagem,1534-6102,,,,
Journal of the International Phonetic Association,J Int Phon Assoc,0025-1003,,,,
Obesity and weight management,Obes Weight Manag,1948-6553,1948-6561,,,
International journal of diabetes in developing countries,Int J Diabetes Dev Ctries,0973-3930,1998-3832,,,
European journal of developmental science,Eur J Dev Sci,1863-3811,1863-382X,,,
International journal of knowledge engineering and soft data paradigms,Int J Knowl Eng Soft Data Paradig,1755-3210,1755-3229,,,
Trends in applied sciences research,Trends Appl Sci Res,1819-3579,,,,
International journal of green nanotechnology. Biomedicine,Int J Green Nanotechnol Biomed,1943-085X,1943-0868,,,
Journal of environmental horticulture,J Environ Hortic,0738-2898,,,,
Indian journal of human genetics,Indian J Hum Genet,0971-6866,1998-362X,,,
"Genetique, selection, evolution",Genet Sel Evol (1983),0754-0264,,,,
Journal of medical ultrasound,J Med Ultrasound,0929-6441,2212-1552,,,
Medical laser application : international journal for laser treatment and research,Med Laser Appl,1615-1615,1878-3228,,,
Journal of cognitive and behavioral psychotherapies : the official journal of the International Institute for the Advanced Studies of Psychotherapy and Applied Mental Health,J Cogn Behav Psychother,1584-7101,2068-7621,,,
Journal of lymphoedema,J Lymphoedema,1750-7235,2054-9431,,,
Obesity and metabolism,Obe Metab,1825-3865,1826-7572,,,
International journal of medical engineering and informatics,Int J Med Eng Inform,1755-0653,1755-0661,,,
Race & society : Official journal of the Association of Black Sociologists,Race Soc,1090-9524,1878-4267,,,
Tottori Rinsho Kagaku Kenkyukai shi,Tottori Rinsho Kagaku Kenkyukai Shi,1882-515X,,,,
Journal of universal computer science : J. UCS,J Univers. Comput Sci,0948-695X,0948-6968,,,4.0
Journal of medical physics,J Med Phys,0971-6203,1998-3913,,,
The prevention researcher,Prev Res,1086-4385,,,,
The Systems thinker,Syst Thinker,1050-2726,,,,
Vascular disease prevention,Vasc Dis Prev,1567-2700,1875-5844,,,
US endocrinology,US Endocrinol,1758-3918,1758-3926,,,
Annual Conference & Exposition : final program and proceedings. American Society for Engineering Education,Annu Conf Expo (Am Soc Eng Educ),1524-4865,1524-4644,,,
Advances and applications in statistical sciences,Adv Appl Stat Sci,0974-6811,,,,
Advances in adaptive data analysis,Adv Adapt Data Anal,1947-9840,,,,
International journal of pediatric endocrinology,Int J Pediatr Endocrinol,1687-9848,1687-9856,,,
Cardiovascular psychiatry and neurology,Cardiovasc Psychiatry Neurol,2090-0163,2090-0171,,,
Journal of environmental and public health,J Environ Public Health,1687-9805,1687-9813,,,
Clinical diabetes : a publication of the American Diabetes Association,Clin Diabetes,0891-8929,1945-4953,,,
Athletic therapy today : the journal for sports health care professionals,Athl Ther Today,1078-7895,1933-2068,,,
American journal of health studies,Am J Health Stud,1090-0500,1945-4511,,,
The annals of long-term care : the official journal of the American Medical Directors Association,Ann Longterm Care,1524-7929,1943-5010,,,
Community oncology,Community Oncol,1548-5315,2331-4435,,,
"Psychiatrie (Stuttgart, Germany)",Psychiatrie (Stuttg),1614-4864,,,,
Current cancer therapy reviews,Curr Cancer Ther Rev,1573-3947,1875-6301,,,
Current chemical biology,Curr Chem Biol,2212-7968,1872-3136,,,
Advances in biological research,Adv Biol Res (Rennes),1992-0067,,,,
AIP conference proceedings,AIP Conf Proc,0094-243X,1551-7616,,,
"AAPI nexus : Asian Americans and Pacific Islanders, policy practice and community",AAPI Nexus,1545-0317,1545-0325,,,
Clinical pulmonary medicine,Clin Pulm Med,1068-0640,1536-5956,,,
Nigerian journal of natural products and medicine,Niger J Nat Prod Med,1118-6267,,,,
Dimensions of dental hygiene,Dimens Dent Hyg,1542-7838,1542-7919,,,
American journal of immunology,Am J Immunol,1553-619X,1558-3775,,,
Applied psychology in criminal justice,Appl Psychol Crim Justice,1550-3550,,,,
Anti-inflammatory & anti-allergy agents in medicinal chemistry,Antiinflamm Antiallergy Agents Med Chem,1871-5230,1875-614X,,,
"Journal of drug addiction, education, and eradication",J Drug Addict Educ Erad,1546-6965,,,,
HIV therapy,HIV Ther,1758-4310,1758-4329,,,
Analysis of gambling behavior,Anal Gambl Behav,1942-6453,,,,
Wiley interdisciplinary reviews. Systems biology and medicine,Wiley Interdiscip Rev Syst Biol Med,1939-5094,1939-005X,,,
Educacao e realidade,Educ Real,0100-3143,,,,
Os urbanitas,Urbanitas,1806-0528,,,,
Ciencias sociales y religion = Ciencias sociais e religiao,Cienc Soc Relig,1518-4463,1982-2650,,,
Human evolution,Hum Evol,0393-9375,1824-310X,,,
Home health care management & practice,Home Health Care Manag Pract,1084-8223,1552-6739,,,
Geriatrics & aging,Geriatr Aging,1488-8408,,,,
Journal of couple & relationship therapy,J Couple Relatsh Ther,1533-2691,1533-2683,,,
Pharmaceutical development and regulation,Pharm Dev Regul,1175-9046,,,,
Journal of biological physics and chemistry : JBPC,J Biol Phys Chem,1512-0856,,,,
Journal of computational and theoretical nanoscience,J Comput Theor Nanosci,1546-1955,1546-1963,,,
"Allergy, asthma, and clinical immunology : official journal of the Canadian Society of Allergy and Clinical Immunology",Allergy Asthma Clin Immunol,1710-1484,1710-1492,,,
Heart and metabolism : management of the coronary patient,Heart Metab,1566-0338,,,,
Horizonte de enfermeria,Horiz Enferm,0716-8861,0719-6946,,,
Institute of Mathematical Statistics collections,Inst Math Stat Collect,1939-4039,1937-5166,,,
Journal of cyber therapy and rehabilitation,J Cyber Ther Rehabil,1784-9934,,,,
Logic journal of the IGPL,Log J IGPL,1367-0751,1368-9894,,,
The journal of invasive fungal infections,J Invasive Fungal Infect,1753-3783,2040-3917,,,
"Pediatric endocrinology, diabetes, and metabolism",Pediatr Endocrinol Diabetes Metab,2081-237X,2083-8441,,,
Madjalah PDGI,Madj Persat Dokt Gigi Indones,0024-9548,,,,
Indian journal of occupational and environmental medicine,Indian J Occup Environ Med,0973-2284,1998-3670,,,
Journal of Indian Association of Pediatric Surgeons,J Indian Assoc Pediatr Surg,0971-9261,1998-3891,,,
Asian journal of transfusion science,Asian J Transfus Sci,0973-6247,1998-3565,,,
Global health action,Glob Health Action,1654-9716,1654-9880,,,
The Gulf journal of oncology,Gulf J Oncolog,2078-2101,,,,
Hematology/oncology and stem cell therapy,Hematol Oncol Stem Cell Ther,1658-3876,2589-0646,,,
Journal of medicine and life,J Med Life,1844-122X,1844-3117,,,
Revista do Colegio Brasileiro de Cirurgioes,Rev Col Bras Cir,0100-6991,1809-4546,,,
Rivista di psichiatria,Riv Psichiatr,0035-6484,2038-2502,,,
Tsetse and trypanosomiasis information quarterly,Tsetse Trypanos Inf Q,0142-193X,,,,
Topics in geriatric rehabilitation,Top Geriatr Rehabil,0882-7524,,,,
Psicologia conductual,Psicol Conductual,1132-9483,,,,
Psicologia em estudo,Psicol Estud,1413-7372,1807-0329,,,
"Science in China. Series A, Mathematics, physics, astronomy",Sci China Ser A Math Phys Astron,1006-9283,,,,
Sensory neuron,Sens Neur,1567-5157,1568-5659,,,
"Psychiatry (Abingdon, England)",Psychiatry (Abingdon),1476-1793,1878-7592,,,
Tijdschrift voor gezondheidszorg & ethiek : TGE,Tijdschr Gezondh Ethiek,1572-0179,0925-2819,,,
"Therapy (London, England : 2004)",Therapy,1475-0708,1744-831X,,,
Signal transduction,Signal Transduct,1615-4053,1615-4061,,,
Mental health and substance use : dual diagnosis,Ment Health Subst Use,1752-3281,1752-3273,,,
North American journal of sports physical therapy : NAJSPT,N Am J Sports Phys Ther,1558-6162,1558-6170,,,
Pimatisiwin,Pimatisiwin,1705-7841,1705-785X,,,
Therapeutic advances in gastroenterology,Therap Adv Gastroenterol,1756-283X,1756-2848,,,
Research in the sociology of work,Res Sociol Work,0277-2833,1875-7944,,,
NRL review (1988),NRL Rev,1062-130X,,,,
Communication education,Commun Educ,0363-4523,1479-5795,,,
Topics in heterocyclic chemistry,Top Heterocycl Chem,1861-9282,1861-9290,,,
Debates do NER : publicacao do Nucleo de Estudos da Religiao do Programa de Pos-Graduacao em Antropologia Social da Universidade Federal do Rio Grande do Sul,Debates NER,1519-843X,1982-8136,,,
"Facta universitatis. Series, Mechanics, automatic control and robotics",Facta Univ Ser Mech Autom Control Robot,0354-2009,,,,
International journal of nanomanufacturing,Int J Nanomanuf,1746-9392,1746-9406,,,
Ekologicheskaia genetika,Ekol Genet,1811-0932,,,,
Diversity,Diversity (Basel),1424-2818,1424-2818,,,
Methodist DeBakey cardiovascular journal,Methodist Debakey Cardiovasc J,1947-6094,1947-6108,,,
U.S. Army Medical Department journal,US Army Med Dep J,1524-0436,1946-1968,,,
Paediatriki,Paidiatrike,0377-2551,,,,
Therapeutic patient education,Ther Patient Educ,2100-0808,2100-0816,,,
Trends in cancer research,Trends Cancer Res,0973-1040,,,,
Psychology science quarterly,Psychol Sci Q,1866-6140,,,,
ESAIM. Mathematical modelling and numerical analysis = ESAIM. Modelisation mathematique et analyse numerique : M=2AN,Esaim Math Model Numer Anal,0764-583X,1290-3841,,,
"Asian biomedicine : research, reviews and news",Asian Biomed (Res Rev News),1905-7415,1875-855X,,,
International journal of cell biology,Int J Cell Biol,1687-8876,1687-8884,,,
International journal of otolaryngology,Int J Otolaryngol,1687-9201,1687-921X,,,
International journal of rheumatology,Int J Rheumatol,1687-9260,1687-9279,,,
Journal of biophysics (Hindawi Publishing Corporation : Online),J Biophys,1687-8000,1687-8019,,,
Psychiatry investigation,Psychiatry Investig,1738-3684,1976-3026,,,
History Ireland,Hist Irel,0791-8224,,,,
"Icon (London, England)",Icon (Lond),1361-8113,,,,
Indica,Indica,0019-686X,,,,
International journal of historical archaeology,Int J Hist Archaeol,1092-7697,1573-7748,,,
Irish studies review,Ir Stud Rev,0967-0882,1469-9303,,,
Jahrbuch fur Geschichte Lateinamerikas,Jahrb Gesch Lat Am,1438-4752,,,,
America Latina en la historia economica : boletin de fuentes,Am Lat Hist Econ,1405-2253,,,,
"1999, Zeitschrift fur Sozialgeschichte des 20. und 21. Jahrhunderts",1999 Z Sozial 20 21 Jhd,0930-9977,,,,
"Archivium hibernicum : or, Irish historical records",Archiv Hibernicum,0044-8745,,,,
Archivum historiae pontificiae,Arch Hist Pontif,0066-6785,,,,
Archivum Ottomanicum,Arch Ottoman,0378-2808,,,,
Aufklarung,Aufklarung (Hambg),0178-7128,,,,
Jewish culture and history,Jew Cult Hist,1462-169X,,,,
"Crossroads (De Kalb, Ill.)",Crossroads (De Kalb),0741-2037,,,,
Commonwealth & comparative politics,Commonw Comp Polit,1466-2043,1743-9094,,,
Jin dai Zhongguo shi yan jiu tong xun : Newsletter for modern Chinese history,Jin Dai Zhong Shi Yan Jiu Tong Xun,1016-0566,,,,
The journal of Burma studies,J Burma Stud,1094-799X,,,,
Explorations in early American culture,Explor Early Am Culture,1534-1267,,,,
Faravid,Faravid,0356-5629,,,,
Fruhneuzeit-Info,Fruhneuz Info,0940-4007,,,,
Jin dai shi yan jiu,Jin Dai Shi Yan Jiu,1001-6708,,,,
Beijing da xue xue bao. Zhe xue she hui ke xue ban,Beijing Da Xue Xue Bao Zhe Xue She Hui Ke Xue Ban,1000-5919,,,,
Biuletyn historii sztuki,Biul Hist Sztuki,0006-3967,,,,
Bulgarian historical review,Bulg Hist Rev,0324-0207,,,,
The Calcutta historical journal,Calcutta Hist J,0254-9794,,,,
The journal of Kurdish studies,J Kurd Stud,1370-7205,1783-1539,,,
Journal of Muslim minority affairs,J Muslim Minor Aff,1360-2004,0266-6952,,,
Journal of Natal and Zulu history,J Natal Zulu Hist,0259-0123,,,,
Journal of the Asiatic Society of Bangladesh. Humanities,J Asiat Soc Bangladesh Humanit,1015-6836,0377-0540,,,
Journal - United Reformed Church History Society. United Reformed Church History Society,J United Reform Church Hist Soc,0049-5433,,,,
Journal of third world studies,J Third World Stud,8755-3449,,,,
Journalism & communication monographs,Journal Commun Monogr,1522-6379,,,,
Kyrkohistorisk arsskrift,Kyrkohist Arsskr,0085-2619,,,,
Han xue yan jiu = Chinese studies,Han Xue Yan Jiu,0254-4466,,,,
Histoire urbaine,Hist Urbaine,1628-0482,2101-003X,,,
Harvard Ukrainian studies,Harv Ukr Stud,0363-5570,,,,
Historiens et geographes,Historiens Geogr,0046-757X,,,,
Pharmeuropa bio & scientific notes,Pharmeur Bio Sci Notes,2075-2164,2075-2504,,,
Moscow University biological sciences bulletin,Moscow Univ Biol Sci Bull,0096-3925,1934-791X,,,
Neurosurgery quarterly,Neurosurg Q,1050-6438,1534-4916,,,
Menopause management,Menopause Manag,1062-7332,,,,
Advances in social work,Adv Soc Work,1527-8565,,,,
"Diagnostic histopathology (Oxford, England)",Diagn Histopathol (Oxf),1756-2317,1876-7621,,,
Vienna yearbook of population research,Vienna Yearb Popul Res,1728-4414,1728-5305,,,
The journal of the American College of Certified Wound Specialists,J Am Col Certif Wound Spec,1876-4983,1876-4991,,,
Reading research and instruction : the journal of the College Reading Association,Read Res Instr,0886-0246,,,,
Journal of societal & social policy,J Soc Soc Policy,1681-2816,,,,
Research in the schools : a nationally refereed journal sponsored by the Mid-South Educational Research Association and the University of Alabama,Res Sch,1085-5300,,,,
Journal of convex analysis,J Convex Anal,0944-6532,,,,
International journal of pure and applied mathematics : IJPAM,Int J Pure Appl Math,1311-8080,,,,
Genome dynamics and stability,Genome Dyn Stab,1861-3373,1861-3381,,,
Proceedings of the ... IEEE/RAS-EMBS International Conference on Biomedical Robotics and Biomechatronics. IEEE/RAS-EMBS International Conference on Biomedical Robotics and Biomechatronics,Proc IEEE RAS EMBS Int Conf Biomed Robot Biomechatron,2155-1774,2155-1782,,,
International journal of biology,Int J Biol,1916-9671,1916-968X,,,
Indian journal of nephrology,Indian J Nephrol,0971-4065,1998-3662,,,
Journal of conservative dentistry : JCD,J Conserv Dent,0972-0707,0974-5203,,,
Journal of Indian Society of Periodontology,J Indian Soc Periodontol,0972-124X,0975-1580,,,
The social history of alcohol and drugs,Soc Hist Alcohol Drugs,1930-8418,,,,
IEEE ... International Conference on Rehabilitation Robotics : [proceedings],IEEE Int Conf Rehabil Robot,1945-7898,1945-7901,,,
Neuroembryology and aging,Neuroembryology Aging,1661-3406,1661-3414,,,
"Clinica (Valladolid, Spain)",Clinica (Valladolid),0301-0392,,,,
Securitas,Securitas (Roma),0037-0657,,,,
Revue de kinesitherapie,Rev Kinesither,0035-1172,,,,
Journal of the Entomological Society of Southern Africa,J Entomol Soc South Afr,0013-8789,,,,
"Army Medical Corps journal, India",Army Med Corps J India,0377-0397,,,,
Internationales Archiv fur Ethnographie,Arch Int Ethnogr,0034-0030,,,,
"Perspectives on science : historical, philosophical, social",Perspect Sci,1063-6145,1530-9274,,,
